Landmark,Distance_mm
Glabella,7.20496064211078
Nasion,6.79754994801224
Orbital Right,6.79614635344829
Orbital Left,5.30748813667578
Superius Right,5.40758336869057
Superius Left,6.83929522492725
Zygion Right,9.94310602041829
Zygion Left,8.62248359404327
Rhinion,3.55235225165463
Midphiltrum,11.4638981430636
