Landmark,Distance_mm
Glabella,7.39304063596143
Nasion,11.5234599407681
Orbital Right,13.1343102079621
Orbital Left,16.9563896753347
Superius Right,10.7695368713968
Superius Left,13.1544596589603
Zygion Right,12.6636422695027
Zygion Left,13.0052283049487
Rhinion,2.97857418571738
Mid-Philtrum (A-Point),15.4812451259262
