Landmark,Distance_mm
Glabella,9.89487064004111
Nasion,7.69860648543657
Sellion,6.77183562350941
Endocanthion Right,8.60292090524778
Endocanthion Left,11.551335391223
Exocanthion Right,12.3673538309134
Exocanthion Left,9.89650721759119
Orbital Right,9.46925693298597
Orbital Left,11.411513210265
Superius Right,17.3326499318292
Superius Left,30.8792963056838
Zygion Right,41.5120469831562
Zygion Left,36.2104973885531
Alar Curvature Right,11.6151978940561
Alar Curvature Left,11.5440494520598
