Landmark,Distance_mm
Glabella,5.01689396132993
Nasion,7.0807999471905
Orbital Right,6.93959146871187
Orbital Left,5.61828776050147
Superius Right,8.5095668959323
Superius Left,9.39419092990332
Zygion Right,7.96914252725747
Zygion Left,10.7090456667158
Rhinion,4.78132590927242
Midphiltrum,13.4058095499126
